"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 20:39:56 GMT 2024","Wed Sep 18 20:39:57 GMT 2024","799","E2E Test Suite","log_out_test","com.globant.tests.LogoutTest","com.globant.tests.LogoutTest","verifySuccessfullyLogOut","verifySuccessfullyLogOut",""
"passed","Wed Sep 18 20:39:53 GMT 2024","Wed Sep 18 20:39:53 GMT 2024","829","E2E Test Suite","remove_three_items_from_the_cat_test","com.globant.tests.RemoveProductsFromCartTest","com.globant.tests.RemoveProductsFromCartTest","selectAndRemoveThreeProductsFromCart","selectAndRemoveThreeProductsFromCart",""
"passed","Wed Sep 18 20:39:54 GMT 2024","Wed Sep 18 20:39:55 GMT 2024","964","E2E Test Suite","product_purchase_test","com.globant.tests.ProductPurchaseTest","com.globant.tests.ProductPurchaseTest","verifyPurchaseSuccessForOneItem","verifyPurchaseSuccessForOneItem",""
