"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 20:35:28 GMT 2024","Wed Sep 18 20:35:29 GMT 2024","768","E2E Test Suite","log_out_test","com.globant.tests.LogoutTest","com.globant.tests.LogoutTest","verifySuccessfullyLogOut","verifySuccessfullyLogOut",""
"passed","Wed Sep 18 20:35:26 GMT 2024","Wed Sep 18 20:35:27 GMT 2024","1094","E2E Test Suite","product_purchase_test","com.globant.tests.ProductPurchaseTest","com.globant.tests.ProductPurchaseTest","verifyPurchaseSuccessForOneItem","verifyPurchaseSuccessForOneItem",""
"broken","Wed Sep 18 20:35:23 GMT 2024","Wed Sep 18 20:35:23 GMT 2024","2","E2E Test Suite","remove_three_items_from_the_cat_test","com.globant.tests.RemoveProductsFromCartTest","com.globant.tests.RemoveProductsFromCartTest","setupDriver","setupDriver",""
"skipped","Wed Sep 18 20:35:23 GMT 2024","Wed Sep 18 20:35:23 GMT 2024","1","E2E Test Suite","remove_three_items_from_the_cat_test","com.globant.tests.RemoveProductsFromCartTest","com.globant.tests.RemoveProductsFromCartTest","selectAndRemoveThreeProductsFromCart","selectAndRemoveThreeProductsFromCart",""
